SiteID,anthropised_100,anthropised_200,anthropised_300,anthropised_400,anthropised_500,anthropised_600,anthropised_700,anthropised_800,anthropised_900,anthropised_1000,builtup_100,builtup_200,builtup_300,builtup_400,builtup_500,builtup_600,builtup_700,builtup_800,builtup_900,builtup_1000
2,61.41261691520979,79.62154416304784,81.80129167757225,82.06591953095352,81.79095793889482,79.904922971066,80.501209702984,80.9392325190177,80.50336755588611,80.00282481598717,32.609449306277824,48.614717591924794,51.9927923632102,48.59168838571783,47.85641893490233,45.996196518401085,46.66271274461601,47.579896944842154,46.82605352049848,45.917295163766354
3,56.459664372432755,69.31677062475272,72.9748228644771,71.84393248096687,72.06725799075139,71.70553188829851,70.91818658629258,71.39993929562796,72.55667261669967,73.47081309548274,28.13054942547909,33.4962532481551,35.50148340055708,35.593813615829404,37.48299020122386,38.52018832146004,38.45004072211322,38.88505496316145,39.72177058005186,40.163157785567066
4,76.32262256620342,68.16763024314717,62.535704406492755,62.73462058389738,65.22507914345499,66.48727455782223,65.8965430756867,65.92544893611252,67.1317862221053,68.56685789093487,41.380448157032134,29.15545373927141,25.409344465995865,27.69076643126458,30.83298858248494,31.233133699733703,31.791016784519275,31.838166397665113,32.05105690211487,32.559034530926276
5,24.868998386558285,24.782595475932872,20.517798486729266,17.150377692299205,17.954827291883927,20.45018298128039,21.933969149477832,21.713714848858473,21.530324549908656,21.36238082870231,15.366616627259615,12.508501198891336,9.207022433351291,5.280896086787956,4.351252026322423,5.356223366969106,5.923049528691045,6.058526182037481,6.3968873238473725,6.595614485252549
6,61.335448697141075,41.21430479964804,29.276153126014577,24.352354211141243,25.31215312686391,26.979359053035733,26.219854745265867,25.88756453415502,24.7339895309707,24.58936207162993,25.246570963143785,16.61584456511077,9.163836632166817,6.4084298101954325,5.993949067337974,7.033838736515517,7.571277976626436,7.704000406978692,7.958751242114105,7.970286030937507
7,51.24586882322637,57.34749716925959,54.22881779503237,48.02450958739525,43.66485926390264,41.40459347569306,39.96372204763542,38.94827833394128,39.478718627548176,40.63747811352266,15.091335050791551,19.51107448842056,19.618987114716592,17.449852495809807,15.278371698101145,14.7850910924249,13.901952627571443,13.08073983305666,13.575115087022107,14.130053207309071
8,54.6100431822241,51.95049320722877,48.71126491810307,47.72798851714386,47.63886713204353,47.370583357244605,47.26420079655028,49.09358836434056,51.4041508212424,52.824957849239425,34.19048280152679,25.14167900236063,22.274937288273136,19.619325525395677,19.72763048781412,18.305489124340575,16.9159703706421,16.7682085332255,18.280352392076928,19.01156623503526
9,68.69623740089514,65.09346460413217,67.83298267533706,70.69714968446551,71.86486351065811,71.26820992705713,69.71054788518016,68.96780903943028,68.82350579610923,67.55801396944406,26.693989775513977,27.398418401051977,28.753310716067087,31.95663025835459,33.05997661087703,32.94826794601683,32.55995696469112,33.12974158957919,33.522775583555756,32.69033221388283
10,91.952423870394,77.66067808848298,77.21293379698217,81.10612599541835,82.16050110825243,82.04908169385176,82.1437301989507,82.43714453924821,81.60882979146446,79.18095786641311,61.42823210166151,46.26971419623939,48.198939208008845,53.486579832697565,53.94311255227034,52.05417935459501,50.450634250305654,50.82415603468054,49.98269693819745,47.70719363580918
11,58.486247497699125,59.35715351949042,47.00313039847265,40.56689606594656,40.00909518857399,43.79342947892252,49.6119523337374,53.41800184119526,56.27037412882102,58.32412346977088,2.970898386877671,5.902611036954128,6.148020821017654,8.948570861371378,13.035266403014848,18.868722825877143,23.464589330000276,26.690699743933525,29.065665288802094,30.882836453655663
12,47.67343380324653,57.46770025391165,56.928461597740075,57.42606476793534,57.301153880115734,56.874205235731715,56.88830716759346,55.10511976985267,53.649971187532344,51.85773573221088,19.78477388078307,20.421122295748287,19.69376038019227,19.885306905043933,20.271795715994024,20.236545531482736,20.672270775322545,20.339753160380923,19.6678556879472,19.471079147103715
13,39.200155679165135,43.08352020297958,38.30970837748412,42.86356714405856,46.03158073262677,50.44832831202696,54.037928129354434,53.29960403689736,52.00256630118206,51.85565912686229,24.330838897509953,22.051706305846555,16.766477584712252,18.418402587746662,19.45000343994061,20.040498631392268,20.261233778492713,19.73818542442315,18.69988298904802,18.4485736563633
14,6.18607970008731,3.794446030543416,4.128339810646094,3.343162878492113,3.336493647448194,3.0761465964860006,3.0369212786126183,3.5495349577714266,3.717674299558014,4.163908094700591,2.5665775414706284,1.4798583620216978,0.9843265136851412,0.8105880430105774,0.9514053184104466,0.9823393444958468,0.944981418559438,1.1893001533039127,1.2199971393146591,1.5453590113850726
15,66.24741689007026,62.36678861889125,64.54699336944367,65.00456389061667,68.50543005968605,67.86605415319364,66.60587294782039,65.74808252135023,64.96554697101325,64.944307126315735,33.3249713742555,32.6512609553709,34.648303620973756,35.49468816959488,34.8526305586142,32.85052299811743,31.424691433472084,29.940792874241428,29.39985236909058,29.197039532595372
16,10.877607108710498,6.482882548028009,5.515475664711383,5.043031931842792,4.356340095168834,4.072753699429076,4.115171923787752,4.70456356435226,5.507594202787714,6.082260981231911,2.776321368903131,1.6668300181592872,1.7050306137465514,1.4841129351817888,1.4399316742816335,1.0669569729568045,1.0058804893865456,1.4925729904015284,1.719032998754742,1.9734751906125187
17,16.42528098717369,8.815406103098015,5.718308335030763,5.517513358952395,4.86501026580945,3.82692588222126,3.1635455898019504,3.1547714404926244,3.393935734395982,3.3020122088026977,7.374280566805485,2.9607340482656728,1.7261501379702149,1.9338687983122664,1.8971327092660144,1.4758444322009243,1.158007089664649,1.1335270152257026,1.2327573700436574,1.1557238871856634
18,69.46944576347876,73.88386903062558,76.50384705171031,69.70281066938563,69.05428648791876,66.63598464204378,66.35562919820914,65.15613269207515,65.10372684384191,64.3583552823135,42.755963892316885,46.83317267660344,48.29604080479313,41.124325046179834,37.18397355936376,33.44040414085694,31.85926484936025,30.77778517390026,31.26885178959843,31.31688887432084
19,63.171266870942624,60.363134231790475,58.08882167060285,58.894982705598906,59.68981128685944,62.96628549377622,61.89844583250453,61.40851951909673,61.90626432481514,62.61766294268098,11.87673202823201,20.594232429012532,20.060104061393883,21.219860817556704,21.203002354239747,23.488306438229912,23.967155756652144,24.19854588141507,24.644656983392064,25.79639554771144
