SiteID,Species,SnailID,datetest_1,datetest_2,early_death,time_1,dist_1,time_2,dist_2,food_1,food_2
18,Cornu_aspersum,18C_Co,2022-05-04,2022-05-11,FALSE,90,24.9,90,74.8,0.67,0.66
18,Cornu_aspersum,18D_Co,2022-05-04,2022-05-11,FALSE,83,85.9,90,68.9,0.83,0.83
18,Cornu_aspersum,18E_Co,2022-05-04,2022-05-11,TRUE,90,5.4,NA,NA,0,NA
18,Cornu_aspersum,18F_Co,2022-05-04,2022-05-11,FALSE,82,80.1,69,82.2,0.36,0.55
18,Cornu_aspersum,18G_Co,2022-05-04,2022-05-11,FALSE,90,53.5,90,63.7,0.67,0.67
18,Cornu_aspersum,18H_Co,2022-05-04,2022-05-11,FALSE,90,75.2,76,89.5,0.85,0.51
18,Cornu_aspersum,18I_Co,2022-05-04,2022-05-11,FALSE,74,81.3,90,74.4,0.55,0.39
18,Cornu_aspersum,18J_Co,2022-05-04,2022-05-11,FALSE,90,43.6,90,72,0.49,0.43
18,Cornu_aspersum,18K_Co,2022-05-04,2022-05-11,TRUE,NA,NA,NA,NA,NA,NA
18,Cornu_aspersum,18L_Co,2022-05-04,2022-05-11,TRUE,NA,NA,NA,NA,NA,NA
19,Cornu_aspersum,19A_Co,2022-05-05,2022-05-12,FALSE,90,60.4,90,49.6,0.97,0.45
19,Cornu_aspersum,19B_Co,2022-05-05,2022-05-12,FALSE,90,48.9,90,22,0.39,0.41
19,Cornu_aspersum,19C_Co,2022-05-05,2022-05-12,FALSE,90,45.5,63,97.8,0.62,0.41
19,Cornu_aspersum,19D_Co,2022-05-05,2022-05-12,FALSE,90,77.2,85,90.9,0.8,0.65
19,Cornu_aspersum,19E_Co,2022-05-05,2022-05-12,FALSE,90,62.2,90,73.1,0.72,0.48
19,Cornu_aspersum,19F_Co,2022-05-05,2022-05-12,FALSE,90,23.1,90,48.1,0.15,0.58
19,Cornu_aspersum,19G_Co,2022-05-05,2022-05-12,FALSE,90,83,90,80.6,0.44,0.43
19,Cornu_aspersum,19H_Co,2022-05-05,2022-05-12,FALSE,90,18.6,90,74.2,0.76,0.64
19,Cornu_aspersum,19I_Co,2022-05-05,2022-05-12,FALSE,NA,NA,90,42.3,0.75,0.4
19,Cornu_aspersum,19J_Co,2022-05-05,2022-05-12,FALSE,90,82.7,90,1.6,0.87,0.71
20,Cornu_aspersum,20A_Co,2022-05-04,2022-05-11,FALSE,NA,NA,90,21.7,0.58,0.36
20,Cornu_aspersum,20B_Co,2022-05-04,2022-05-11,FALSE,90,42,75,75.3,0.68,1.05
20,Cornu_aspersum,20C_Co,2022-05-04,2022-05-11,FALSE,90,26.4,63,82.7,0.25,0.55
20,Cornu_aspersum,20D_Co,2022-05-04,2022-05-11,FALSE,71,81,90,37.6,0.46,0.77
20,Cornu_aspersum,20E_Co,2022-05-04,2022-05-11,FALSE,90,77.2,66,81.9,0.72,0.65
20,Cornu_aspersum,20F_Co,2022-05-04,2022-05-11,FALSE,54,83.2,90,46.7,0.77,1.01
20,Cornu_aspersum,20G_Co,2022-05-04,2022-05-11,FALSE,58,85.6,90,76.2,0.75,0.68
20,Cornu_aspersum,20H_Co,2022-05-04,2022-05-11,FALSE,90,82.4,90,36.6,0.67,0.84
20,Cornu_aspersum,20I_Co,2022-05-04,2022-05-11,FALSE,90,8.3,NA,NA,0.41,0.53
20,Cornu_aspersum,20J_Co,2022-05-04,2022-05-11,FALSE,90,45.1,62,81.1,0.29,0.65
20,Cornu_aspersum,20K_Co,2022-05-04,2022-05-11,FALSE,90,13.7,90,39.8,0.47,0.47
20,Cornu_aspersum,20L_Co,2022-05-04,2022-05-11,FALSE,90,65,90,77.1,0.73,1
20,Cornu_aspersum,20M_Co,2022-05-04,2022-05-11,FALSE,90,77.4,90,27.1,0.48,0.75
20,Cornu_aspersum,20N_Co,2022-05-04,2022-05-11,FALSE,62,99.7,90,30,0.92,0.94
20,Cornu_aspersum,20O_Co,2022-05-04,2022-05-11,FALSE,90,21.6,63,86.8,0.88,0.98
20,Cornu_aspersum,20P_Co,2022-05-04,2022-05-11,FALSE,90,42.5,87,79,0.61,0.53
