SiteID,Species,SnailID,datetest_1,datetest_2,early_death,time_1,dist_1,time_2,dist_2,food_1,food_2
7,Cornu_aspersum,7A_Co,2022-04-26,2022-05-03,FALSE,90,38.9,85,119,0.67,0.71
7,Cornu_aspersum,7B_Co,2022-04-26,2022-05-03,FALSE,90,77.6,90,3.7,0.5,0.35
7,Cornu_aspersum,7C_Co,2022-04-26,2022-05-03,FALSE,90,51.1,90,25.2,0.34,0.18
7,Cornu_aspersum,7D_Co,2022-04-26,2022-05-03,FALSE,33,78.8,90,39.6,0.67,0.33
7,Cornu_aspersum,7E_Co,2022-04-26,2022-05-03,FALSE,90,40.9,76,99.7,0.32,0.19
7,Cornu_aspersum,7F_Co,2022-04-26,2022-05-03,FALSE,90,61.6,69,78.6,0.23,0.33
7,Cornu_aspersum,7G_Co,2022-04-26,2022-05-03,FALSE,90,93.5,90,55.6,0.43,0.22
7,Cornu_aspersum,7H_Co,2022-04-26,2022-05-03,FALSE,NA,NA,90,29.9,0,0
7,Cornu_aspersum,7I_Co,2022-04-26,2022-05-03,FALSE,90,20.6,NA,NA,0.09,0.19
7,Cornu_aspersum,7J_Co,2022-04-26,2022-05-03,FALSE,90,102.4,90,46,0.29,0.06
7,Cornu_aspersum,7K_Co,2022-04-26,2022-05-03,FALSE,56,89.5,74,77.8,0,0.16
7,Cornu_aspersum,7L_Co,2022-04-26,2022-05-03,FALSE,NA,NA,NA,NA,0.65,0.45
7,Cornu_aspersum,7M_Co,2022-04-26,2022-05-03,FALSE,57,94.3,90,55.7,0.37,0.44
7,Cornu_aspersum,7N_Co,2022-04-26,2022-05-03,FALSE,90,56.5,90,44.6,0.07,0.34
